"행정구역","남_0","남_10","남_20","남_30","남_40","남_50","남_60","여_0","여_10","여_20","여_30","여_40","여_50","여_60"
"4119079500",5216,4630,5950,7468,8743,6955,8602,5063,4588,5608,7802,8357,7566,10341
"4119080000",2429,3903,6821,5379,6722,8644,8871,2416,3633,5998,4679,6599,8560,10709
"4119083000",2780,3884,6938,5989,7078,8778,8518,2598,3435,6009,5154,6317,8549,9778
"4159000000",54253,48271,53969,78297,85052,59751,52906,51678,46232,46312,72556,74190,51612,59299
"4159025300",4175,4878,5128,5585,8039,6325,5855,4229,4885,4507,5564,7382,5632,6705
"4159025600",524,756,1105,1005,1675,1986,2430,480,721,705,682,1127,1489,2768
"4159025900",5654,5035,5521,8896,9289,5812,4783,5213,4793,4507,7070,7418,4723,5582
"4159026200",2099,1781,3100,4019,3664,3380,3543,1964,1630,2205,2836,2809,2920,3696
"4159031000",171,268,475,386,572,868,1114,158,232,379,300,438,691,1265
"4159032000",139,178,357,321,436,737,1125,112,156,239,186,254,524,1071
"4159033000",153,235,483,522,671,891,1184,124,198,267,225,327,552,1111
"4159034000",254,449,578,526,845,1269,1960,232,368,421,366,614,925,2146
"4159035000",96,164,366,331,511,941,1510,92,142,202,213,316,665,1528
"4159036000",174,252,668,700,1021,1503,1680,142,220,342,325,470,841,1576
"4159037000",234,340,596,583,859,1358,1895,180,282,389,313,470,857,1894
"4159040000",63,88,259,255,357,610,805,51,79,129,123,137,334,731
"4159041000",244,416,844,765,1089,1459,1750,215,391,488,398,605,945,1744
"4159051500",1776,938,1179,2267,1852,1172,656,1808,907,1117,2243,1722,1198,660
"4159052000",2404,2031,4030,5313,4333,3025,2542,2277,1990,3068,4040,3447,2752,2916
"4159053000",1455,1617,2539,2419,2623,1995,1763,1337,1550,2147,2159,2517,1952,2141
"4159054000",1355,2019,1450,1577,2689,1635,1229,1332,1987,1439,1707,2781,1523,1798
"4159055000",2295,2037,2225,3000,3079,2184,1630,2262,1938,1936,3051,2881,2293,1703
"4159056000",761,987,916,816,1426,1159,1040,687,897,766,817,1361,1046,1162
"4159057000",995,1223,1784,1695,2205,2178,2235,916,1087,1328,1419,1793,1994,2540
"4159058500",3338,3565,3935,4887,5203,3373,1683,3234,3371,3484,4915,5171,2716,1861
"4159058600",2365,3286,1862,2048,4287,2435,1475,2264,3208,1840,2472,4496,2157,1864
"4159058700",3141,2757,3225,4437,4292,2098,1500,3002,2538,2721,4120,4086,1898,2040
"4159058800",5014,4274,2091,4384,6811,2749,1362,4795,4248,2129,5627,6226,2310,1602
"4159059000",3202,1991,2025,4801,3955,1973,1600,2992,1946,2203,4813,3610,1943,2039
"4159060000",2321,1491,2166,4127,2945,1632,1089,2196,1348,2217,3639,2566,1497,1229
"4159061000",7552,4164,3670,9061,8049,3843,2545,7157,4062,3719,9573,7164,3983,2886
"4159062000",2299,1051,1392,3571,2275,1161,923,2227,1058,1418,3360,2002,1252,1041
"2653000000",6729,8237,15886,14084,15756,21167,27420,6529,7498,13669,12186,14436,21275,31211
"2653058000",126,174,389,341,452,763,1044,108,156,292,273,318,604,1107
"2653059100",829,1076,2083,1859,1985,2784,3802,864,972,1690,1577,1863,2975,4282
"2653059300",167,296,540,491,802,1186,1911,170,244,396,399,578,1085,3043
"2653060000",275,359,642,564,679,1015,1142,273,322,462,493,601,875,1417
"2653061000",410,502,969,830,913,1405,1810,386,472,835,732,829,1474,1913
"2653062000",572,589,1943,1732,1496,2267,2711,567,506,1980,1423,1257,2076,2737
"2653064500",299,411,964,967,1064,1586,2158,272,356,807,689,797,1378,2303
"2653065000",496,625,1237,1023,1054,1617,2078,483,574,1005,870,1034,1664,2112
"2653066000",794,979,2102,1656,1830,1927,2590,802,930,1968,1472,1665,2100,2868
"2653066100",412,561,981,864,911,1169,1779,388,521,892,708,934,1364,2094
"2653067000",1078,1254,1979,1916,2256,2723,3646,1015,1121,1636,1770,2165,2879,4261
"2653068000",1271,1411,2057,1841,2314,2725,2749,1201,1324,1706,1780,2395,2801,3074
